Message,MessageType,MetaData
"{'StaticDataReport': {'MessageID': 24, 'PartNumber': True, 'RepeatIndicator': 0, 'ReportA': {'Name': '', 'Valid': False}, 'ReportB': {'CallSign': '', 'Dimension': {'A': 6, 'B': 7, 'C': 2, 'D': 2}, 'FixType': 15, 'ShipType': 37, 'Spare': 0, 'Valid': True, 'VenderIDModel': 2, 'VenderIDSerial': 284978, 'VendorIDName': 'SRT'}, 'Reserved': 0, 'UserID': 338472318, 'Valid': True}}",StaticDataReport,"{'MMSI': 338472318, 'MMSI_String': 338472318, 'ShipName': '', 'latitude': 25.82387333333333, 'longitude': -80.128105, 'time_utc': '2024-12-10 18:54:54.86601209 +0000 UTC'}"
"{'StaticDataReport': {'MessageID': 24, 'PartNumber': True, 'RepeatIndicator': 0, 'ReportA': {'Name': '', 'Valid': False}, 'ReportB': {'CallSign': '', 'Dimension': {'A': 8, 'B': 3, 'C': 2, 'D': 4}, 'FixType': 0, 'ShipType': 37, 'Spare': 0, 'Valid': True, 'VenderIDModel': 1, 'VenderIDSerial': 231506, 'VendorIDName': 'SMT'}, 'Reserved': 0, 'UserID': 339359000, 'Valid': True}}",StaticDataReport,"{'MMSI': 339359000, 'MMSI_String': 339359000, 'ShipName': '', 'latitude': 25.793988333333335, 'longitude': -80.14592999999999, 'time_utc': '2024-12-10 18:54:56.13575829 +0000 UTC'}"
"{'StaticDataReport': {'MessageID': 24, 'PartNumber': False, 'RepeatIndicator': 0, 'ReportA': {'Name': 'MY MINA', 'Valid': True}, 'ReportB': {'CallSign': '', 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'FixType': 0, 'ShipType': 0, 'Spare': 0, 'Valid': False, 'VenderIDModel': 0, 'VenderIDSerial': 0, 'VendorIDName': ''}, 'Reserved': 0, 'UserID': 338423264, 'Valid': True}}",StaticDataReport,"{'MMSI': 338423264, 'MMSI_String': 338423264, 'ShipName': 'MY MINA', 'latitude': 25.778689999999997, 'longitude': -80.18561333333334, 'time_utc': '2024-12-10 18:54:57.523931616 +0000 UTC'}"
"{'StaticDataReport': {'MessageID': 24, 'PartNumber': False, 'RepeatIndicator': 0, 'ReportA': {'Name': 'T/T APRICITY', 'Valid': True}, 'ReportB': {'CallSign': '', 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'FixType': 0, 'ShipType': 0, 'Spare': 0, 'Valid': False, 'VenderIDModel': 0, 'VenderIDSerial': 0, 'VendorIDName': ''}, 'Reserved': 0, 'UserID': 368113150, 'Valid': True}}",StaticDataReport,"{'MMSI': 368113150, 'MMSI_String': 368113150, 'ShipName': 'T/T APRICITY', 'latitude': 25.775318333333335, 'longitude': -80.14245166666666, 'time_utc': '2024-12-10 18:54:58.95588465 +0000 UTC'}"
"{'StaticDataReport': {'MessageID': 24, 'PartNumber': False, 'RepeatIndicator': 0, 'ReportA': {'Name': 'SYNERGY', 'Valid': True}, 'ReportB': {'CallSign': '', 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'FixType': 0, 'ShipType': 0, 'Spare': 0, 'Valid': False, 'VenderIDModel': 0, 'VenderIDSerial': 0, 'VendorIDName': ''}, 'Reserved': 0, 'UserID': 338236133, 'Valid': True}}",StaticDataReport,"{'MMSI': 338236133, 'MMSI_String': 338236133, 'ShipName': 'SYNERGY', 'latitude': 25.794188333333334, 'longitude': -80.14576333333333, 'time_utc': '2024-12-10 18:55:00.033626961 +0000 UTC'}"
"{'StaticDataReport': {'MessageID': 24, 'PartNumber': True, 'RepeatIndicator': 0, 'ReportA': {'Name': '', 'Valid': False}, 'ReportB': {'CallSign': '', 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'FixType': 1, 'ShipType': 36, 'Spare': 0, 'Valid': True, 'VenderIDModel': 1, 'VenderIDSerial': 5, 'VendorIDName': 'GRM'}, 'Reserved': 0, 'UserID': 338430214, 'Valid': True}}",StaticDataReport,"{'MMSI': 338430214, 'MMSI_String': 338430214, 'ShipName': '', 'latitude': 25.6174, 'longitude': -80.12618, 'time_utc': '2024-12-10 18:55:01.747804093 +0000 UTC'}"
"{'StaticDataReport': {'MessageID': 24, 'PartNumber': False, 'RepeatIndicator': 0, 'ReportA': {'Name': 'ANCON', 'Valid': True}, 'ReportB': {'CallSign': '', 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'FixType': 0, 'ShipType': 0, 'Spare': 0, 'Valid': False, 'VenderIDModel': 0, 'VenderIDSerial': 0, 'VendorIDName': ''}, 'Reserved': 0, 'UserID': 368233580, 'Valid': True}}",StaticDataReport,"{'MMSI': 368233580, 'MMSI_String': 368233580, 'ShipName': 'ANCON', 'latitude': 25.74726, 'longitude': -80.17651500000001, 'time_utc': '2024-12-10 18:55:02.821892372 +0000 UTC'}"
"{'StaticDataReport': {'MessageID': 24, 'PartNumber': True, 'RepeatIndicator': 0, 'ReportA': {'Name': '', 'Valid': False}, 'ReportB': {'CallSign': '', 'Dimension': {'A': 13, 'B': 14, 'C': 3, 'D': 4}, 'FixType': 1, 'ShipType': 37, 'Spare': 0, 'Valid': True, 'VenderIDModel': 1, 'VenderIDSerial': 5, 'VendorIDName': 'GRM'}, 'Reserved': 0, 'UserID': 338463744, 'Valid': True}}",StaticDataReport,"{'MMSI': 338463744, 'MMSI_String': 338463744, 'ShipName': '', 'latitude': 25.756331666666664, 'longitude': -80.14154333333333, 'time_utc': '2024-12-10 18:55:05.079478238 +0000 UTC'}"
"{'StaticDataReport': {'MessageID': 24, 'PartNumber': False, 'RepeatIndicator': 0, 'ReportA': {'Name': 'MAR Y VELA', 'Valid': True}, 'ReportB': {'CallSign': '', 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'FixType': 0, 'ShipType': 0, 'Spare': 0, 'Valid': False, 'VenderIDModel': 0, 'VenderIDSerial': 0, 'VendorIDName': ''}, 'Reserved': 0, 'UserID': 368355220, 'Valid': True}}",StaticDataReport,"{'MMSI': 368355220, 'MMSI_String': 368355220, 'ShipName': 'MAR Y VELA', 'latitude': 25.678023333333332, 'longitude': -80.17018666666667, 'time_utc': '2024-12-10 18:55:06.461677348 +0000 UTC'}"
"{'StaticDataReport': {'MessageID': 24, 'PartNumber': False, 'RepeatIndicator': 0, 'ReportA': {'Name': 'TEINEFANGST', 'Valid': True}, 'ReportB': {'CallSign': '', 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'FixType': 0, 'ShipType': 0, 'Spare': 0, 'Valid': False, 'VenderIDModel': 0, 'VenderIDSerial': 0, 'VendorIDName': ''}, 'Reserved': 0, 'UserID': 257579600, 'Valid': True}}",StaticDataReport,"{'MMSI': 257579600, 'MMSI_String': 257579600, 'ShipName': 'TEINEFANGST', 'latitude': 63.799495, 'longitude': 8.679385, 'time_utc': '2024-12-10 18:55:23.536631665 +0000 UTC'}"
