Message,MessageType,MetaData
"{'ChannelManagement': {'Area': {'Latitude1': 91, 'Latitude2': 91, 'Longitude1': 181, 'Longitude2': 181}, 'BwA': False, 'BwB': False, 'ChannelA': 2087, 'ChannelB': 2088, 'IsAddressed': False, 'LowPower': False, 'MessageID': 22, 'RepeatIndicator': 0, 'Spare1': 0, 'Spare4': 0, 'TransitionalZoneSize': 4, 'TxRxMode': 0, 'Unicast': {'AddressStation1': 0, 'AddressStation2': 0, 'Spare2': 0, 'Spare3': 0}, 'UserID': 2241048, 'Valid': True}}",ChannelManagement,"{'MMSI': 2241048, 'MMSI_String': 2241048, 'ShipName': 'VALENCIA', 'latitude': 39.44914166666667, 'longitude': -0.30221, 'time_utc': '2024-12-10 18:57:03.422932518 +0000 UTC'}"
"{'ChannelManagement': {'Area': {'Latitude1': 91, 'Latitude2': 91, 'Longitude1': 181, 'Longitude2': 181}, 'BwA': False, 'BwB': False, 'ChannelA': 2087, 'ChannelB': 2088, 'IsAddressed': False, 'LowPower': False, 'MessageID': 22, 'RepeatIndicator': 0, 'Spare1': 0, 'Spare4': 0, 'TransitionalZoneSize': 4, 'TxRxMode': 0, 'Unicast': {'AddressStation1': 0, 'AddressStation2': 0, 'Spare2': 0, 'Spare3': 0}, 'UserID': 2241048, 'Valid': True}}",ChannelManagement,"{'MMSI': 2241048, 'MMSI_String': 2241048, 'ShipName': 'VALENCIA', 'latitude': 39.44914166666667, 'longitude': -0.30221, 'time_utc': '2024-12-10 18:57:03.423104272 +0000 UTC'}"
"{'ChannelManagement': {'Area': {'Latitude1': 91, 'Latitude2': 91, 'Longitude1': 181, 'Longitude2': 181}, 'BwA': False, 'BwB': False, 'ChannelA': 2087, 'ChannelB': 2088, 'IsAddressed': False, 'LowPower': False, 'MessageID': 22, 'RepeatIndicator': 0, 'Spare1': 0, 'Spare4': 0, 'TransitionalZoneSize': 4, 'TxRxMode': 0, 'Unicast': {'AddressStation1': 0, 'AddressStation2': 0, 'Spare2': 0, 'Spare3': 0}, 'UserID': 2241048, 'Valid': True}}",ChannelManagement,"{'MMSI': 2241048, 'MMSI_String': 2241048, 'ShipName': 'VALENCIA', 'latitude': 39.44914166666667, 'longitude': -0.30221, 'time_utc': '2024-12-10 18:57:03.423281468 +0000 UTC'}"
"{'ChannelManagement': {'Area': {'Latitude1': 91, 'Latitude2': 91, 'Longitude1': 181, 'Longitude2': 181}, 'BwA': False, 'BwB': False, 'ChannelA': 2087, 'ChannelB': 2088, 'IsAddressed': False, 'LowPower': False, 'MessageID': 22, 'RepeatIndicator': 0, 'Spare1': 0, 'Spare4': 0, 'TransitionalZoneSize': 4, 'TxRxMode': 0, 'Unicast': {'AddressStation1': 0, 'AddressStation2': 0, 'Spare2': 0, 'Spare3': 0}, 'UserID': 2241048, 'Valid': True}}",ChannelManagement,"{'MMSI': 2241048, 'MMSI_String': 2241048, 'ShipName': 'VALENCIA', 'latitude': 39.44914166666667, 'longitude': -0.30221, 'time_utc': '2024-12-10 19:11:02.521485156 +0000 UTC'}"
"{'ChannelManagement': {'Area': {'Latitude1': 91, 'Latitude2': 91, 'Longitude1': 181, 'Longitude2': 181}, 'BwA': False, 'BwB': False, 'ChannelA': 2087, 'ChannelB': 2088, 'IsAddressed': False, 'LowPower': False, 'MessageID': 22, 'RepeatIndicator': 0, 'Spare1': 0, 'Spare4': 0, 'TransitionalZoneSize': 4, 'TxRxMode': 0, 'Unicast': {'AddressStation1': 0, 'AddressStation2': 0, 'Spare2': 0, 'Spare3': 0}, 'UserID': 2241048, 'Valid': True}}",ChannelManagement,"{'MMSI': 2241048, 'MMSI_String': 2241048, 'ShipName': 'VALENCIA', 'latitude': 39.44914166666667, 'longitude': -0.30221, 'time_utc': '2024-12-10 19:11:02.521680817 +0000 UTC'}"
"{'ChannelManagement': {'Area': {'Latitude1': 91, 'Latitude2': 91, 'Longitude1': 181, 'Longitude2': 181}, 'BwA': False, 'BwB': False, 'ChannelA': 2087, 'ChannelB': 2088, 'IsAddressed': False, 'LowPower': False, 'MessageID': 22, 'RepeatIndicator': 0, 'Spare1': 0, 'Spare4': 0, 'TransitionalZoneSize': 4, 'TxRxMode': 0, 'Unicast': {'AddressStation1': 0, 'AddressStation2': 0, 'Spare2': 0, 'Spare3': 0}, 'UserID': 2241048, 'Valid': True}}",ChannelManagement,"{'MMSI': 2241048, 'MMSI_String': 2241048, 'ShipName': 'VALENCIA', 'latitude': 39.44914166666667, 'longitude': -0.30221, 'time_utc': '2024-12-10 19:11:02.523005621 +0000 UTC'}"
"{'ChannelManagement': {'Area': {'Latitude1': 91, 'Latitude2': 91, 'Longitude1': 181, 'Longitude2': 181}, 'BwA': False, 'BwB': False, 'ChannelA': 2087, 'ChannelB': 2088, 'IsAddressed': False, 'LowPower': False, 'MessageID': 22, 'RepeatIndicator': 0, 'Spare1': 0, 'Spare4': 0, 'TransitionalZoneSize': 4, 'TxRxMode': 0, 'Unicast': {'AddressStation1': 0, 'AddressStation2': 0, 'Spare2': 0, 'Spare3': 0}, 'UserID': 2241048, 'Valid': True}}",ChannelManagement,"{'MMSI': 2241048, 'MMSI_String': 2241048, 'ShipName': 'VALENCIA', 'latitude': 39.44914166666667, 'longitude': -0.30221, 'time_utc': '2024-12-10 19:11:02.798872695 +0000 UTC'}"
"{'ChannelManagement': {'Area': {'Latitude1': 91, 'Latitude2': 91, 'Longitude1': 181, 'Longitude2': 181}, 'BwA': False, 'BwB': False, 'ChannelA': 2087, 'ChannelB': 2088, 'IsAddressed': False, 'LowPower': False, 'MessageID': 22, 'RepeatIndicator': 0, 'Spare1': 0, 'Spare4': 0, 'TransitionalZoneSize': 4, 'TxRxMode': 0, 'Unicast': {'AddressStation1': 0, 'AddressStation2': 0, 'Spare2': 0, 'Spare3': 0}, 'UserID': 2241048, 'Valid': True}}",ChannelManagement,"{'MMSI': 2241048, 'MMSI_String': 2241048, 'ShipName': 'VALENCIA', 'latitude': 39.44914166666667, 'longitude': -0.30221, 'time_utc': '2024-12-10 19:11:02.799098182 +0000 UTC'}"
"{'ChannelManagement': {'Area': {'Latitude1': 91, 'Latitude2': 91, 'Longitude1': 181, 'Longitude2': 181}, 'BwA': False, 'BwB': False, 'ChannelA': 2087, 'ChannelB': 2088, 'IsAddressed': False, 'LowPower': False, 'MessageID': 22, 'RepeatIndicator': 0, 'Spare1': 0, 'Spare4': 0, 'TransitionalZoneSize': 4, 'TxRxMode': 0, 'Unicast': {'AddressStation1': 0, 'AddressStation2': 0, 'Spare2': 0, 'Spare3': 0}, 'UserID': 2241048, 'Valid': True}}",ChannelManagement,"{'MMSI': 2241048, 'MMSI_String': 2241048, 'ShipName': 'VALENCIA', 'latitude': 39.44914166666667, 'longitude': -0.30221, 'time_utc': '2024-12-10 19:11:02.802907101 +0000 UTC'}"
"{'ChannelManagement': {'Area': {'Latitude1': 91, 'Latitude2': 91, 'Longitude1': 181, 'Longitude2': 181}, 'BwA': False, 'BwB': False, 'ChannelA': 2087, 'ChannelB': 2088, 'IsAddressed': False, 'LowPower': False, 'MessageID': 22, 'RepeatIndicator': 0, 'Spare1': 0, 'Spare4': 0, 'TransitionalZoneSize': 4, 'TxRxMode': 0, 'Unicast': {'AddressStation1': 0, 'AddressStation2': 0, 'Spare2': 0, 'Spare3': 0}, 'UserID': 2241048, 'Valid': True}}",ChannelManagement,"{'MMSI': 2241048, 'MMSI_String': 2241048, 'ShipName': 'VALENCIA', 'latitude': 39.44914166666667, 'longitude': -0.30221, 'time_utc': '2024-12-10 19:11:02.900971373 +0000 UTC'}"
